"","rt","corr","Pacc","prev"
"1",6.45676965557216,"cor",0,"inc"
"2",5.6021188208797,"cor",0,"cor"
"3",6.25382881157547,"inc",0,"cor"
"4",5.4510384535657,"inc",0,"inc"
"5",5.87211778947542,"inc",0,"inc"
"6",6.00388706710654,"cor",0,"inc"
"7",5.40267738187228,"cor",0.0454545454545455,"cor"
"8",6.40687998606931,"cor",0.0909090909090909,"cor"
"9",6.07764224334903,"inc",0.136363636363636,"cor"
"10",5.48063892334199,"cor",0.181818181818182,"inc"
"11",5.95842469302978,"cor",0.227272727272727,"cor"
"12",5.82894561761021,"inc",0.272727272727273,"cor"
"13",5.92692602597041,"cor",0.318181818181818,"inc"
"14",6.12468339089421,"inc",0.363636363636364,"cor"
"15",5.95583736946483,"cor",0.409090909090909,"inc"
"16",6.0591231955818,"cor",0.454545454545454,"cor"
"17",6.47850964220857,"inc",0.5,"cor"
"18",6.44571981938558,"cor",0.545454545454545,"inc"
"19",6.56244409369372,"cor",0.590909090909091,"cor"
"20",6.64768837356333,"cor",0.636363636363636,"cor"
"21",6.49677499018586,"cor",0.681818181818182,"cor"
"22",6.39526159811545,"cor",0.727272727272727,"cor"
"23",6.52941883826223,"cor",0.772727272727273,"cor"
"24",6.37672694789863,"cor",0.727272727272727,"cor"
"25",6.54821910276237,"cor",0.681818181818182,"cor"
"26",6.40191719672719,"cor",0.636363636363636,"cor"
"27",6.36302810354046,"cor",0.590909090909091,"cor"
"28",6.25382881157547,"cor",0.545454545454545,"cor"
"29",6.33327962813969,"cor",0.5,"cor"
"30",6.51767127291227,"cor",0.454545454545454,"cor"
"31",6.3456363608286,"cor",0.409090909090909,"cor"
"32",6.0913098820777,"cor",0.363636363636364,"cor"
"33",7.15148546390474,"cor",0.318181818181818,"cor"
"34",5.42934562895444,"cor",0.272727272727273,"cor"
"35",5.04342511691925,"cor",0.227272727272727,"cor"
"36",5.33271879326537,"inc",0.181818181818182,"cor"
"37",5.27811465923052,"cor",0.136363636363636,"inc"
"38",5.56452040732269,"cor",0.0909090909090909,"cor"
"39",5.39816270151775,"inc",0.0454545454545455,"cor"
"40",5.50533153593236,"cor",0.0909090909090909,"inc"
"41",5.5683445037611,"cor",0.136363636363636,"cor"
"42",5.51745289646471,"cor",0.181818181818182,"cor"
"43",5.39816270151775,"inc",0.227272727272727,"cor"
"44",5.56068163101553,"cor",0.272727272727273,"inc"
"45",6.16961073249146,"cor",0.318181818181818,"cor"
"46",6.06610809010375,"inc",0.363636363636364,"cor"
"47",6.18414889093748,"cor",0.409090909090909,"inc"
"48",6.22653666928747,"cor",0.454545454545454,"cor"
"49",6.35088571671474,"cor",0.5,"cor"
"50",6.22059017009974,"cor",0.545454545454545,"cor"
"51",6.12249280951439,"cor",0.590909090909091,"cor"
